date,draw_time,d1,d2,d3,combo
2003-02-12,9PM,9,5,6,956
2003-02-13,9PM,3,7,5,375
2003-02-14,9PM,7,1,1,711
2003-02-15,9PM,5,5,4,554
2003-02-16,9PM,3,8,6,386
2003-02-17,9PM,3,5,6,356
2003-02-18,9PM,4,3,5,435
2003-02-19,9PM,9,6,8,968
2003-02-20,9PM,4,3,1,431
2003-02-21,9PM,3,6,5,365
2003-02-22,9PM,2,5,2,252
2003-02-23,9PM,9,1,5,915
2003-02-24,9PM,4,7,0,470
2003-02-25,9PM,6,6,8,668
2003-02-26,9PM,8,0,8,808
2003-02-27,9PM,8,9,6,896
2003-02-28,9PM,9,3,7,937
2003-03-01,9PM,8,4,4,844
2003-03-02,9PM,2,8,1,281
2003-03-03,9PM,4,3,4,434
2003-03-04,9PM,2,7,9,279
2003-03-05,9PM,7,9,6,796
2003-03-06,9PM,1,1,5,115
2003-03-07,9PM,4,3,9,439
2003-03-08,9PM,8,7,2,872
2003-03-09,9PM,2,4,8,248
2003-03-10,9PM,0,9,8,098
2003-03-11,9PM,6,3,8,638
2003-03-12,9PM,2,6,4,264
2003-03-13,9PM,5,0,1,501
2003-03-14,9PM,3,5,1,351
2003-03-15,9PM,9,0,6,906
2003-03-16,9PM,8,8,5,885
2003-03-17,9PM,1,7,9,179
2003-03-18,9PM,5,1,9,519
2003-03-19,9PM,9,7,0,970
2003-03-20,9PM,2,6,2,262
2003-03-21,9PM,4,7,9,479
2003-03-22,9PM,7,2,6,726
2003-03-23,9PM,3,8,2,382
2003-03-24,9PM,8,8,3,883
2003-03-25,9PM,8,1,1,811
2003-03-26,9PM,7,2,0,720
2003-03-27,9PM,8,9,3,893
2003-03-28,9PM,8,2,8,828
2003-03-29,9PM,1,8,6,186
2003-03-30,9PM,6,8,5,685
2003-03-31,9PM,4,9,9,499
2003-04-01,9PM,6,3,2,632
2003-04-02,9PM,7,0,7,707
2003-04-03,9PM,5,0,4,504
2003-04-04,9PM,3,0,8,308
2003-04-05,9PM,4,5,1,451
2003-04-06,9PM,2,4,1,241
2003-04-07,9PM,1,1,5,115
2003-04-08,9PM,9,9,7,997
2003-04-09,9PM,3,8,8,388
2003-04-10,9PM,1,5,7,157
2003-04-11,9PM,7,5,6,756
2003-04-12,9PM,9,5,3,953
2003-04-13,9PM,6,4,9,649
2003-04-14,9PM,6,0,9,609
2003-04-15,9PM,5,0,5,505
2003-04-16,9PM,8,9,4,894
2003-04-21,9PM,5,0,4,504
2003-04-22,9PM,9,0,5,905
2003-04-23,9PM,6,9,5,695
2003-04-24,9PM,4,1,8,418
2003-04-25,9PM,2,6,9,269
2003-04-26,9PM,7,4,3,743
2003-04-27,9PM,4,0,8,408
2003-04-28,9PM,5,8,2,582
2003-04-29,9PM,7,6,8,768
2003-04-30,9PM,3,6,4,364
2003-05-01,9PM,6,8,5,685
2003-05-02,9PM,1,1,5,115
2003-05-03,9PM,5,5,2,552
2003-05-04,9PM,0,3,9,039
2003-05-05,9PM,9,2,3,923
2003-05-06,9PM,8,1,8,818
2003-05-07,9PM,1,6,2,162
2003-05-08,9PM,0,7,3,073
2003-05-09,9PM,6,6,8,668
2003-05-10,9PM,9,4,3,943
2003-05-11,9PM,9,3,7,937
2003-05-12,9PM,9,9,0,990
2003-05-13,9PM,9,4,7,947
2003-05-14,9PM,2,6,5,265
2003-05-15,9PM,7,8,1,781
2003-05-16,9PM,9,4,0,940
2003-05-17,9PM,6,6,3,663
2003-05-18,9PM,1,9,5,195
2003-05-19,9PM,3,6,6,366
2003-05-20,9PM,4,7,5,475
2003-05-21,9PM,7,1,3,713
2003-05-22,9PM,4,6,9,469
2003-05-23,9PM,3,7,9,379
2003-05-24,9PM,1,6,6,166
2003-05-25,9PM,9,0,4,904
2003-05-26,9PM,4,1,0,410
2003-05-27,9PM,0,4,8,048
2003-05-28,9PM,6,6,1,661
2003-05-29,9PM,8,1,1,811
2003-05-30,9PM,9,7,0,970
2003-05-31,9PM,8,3,7,837
2003-06-01,9PM,1,0,8,108
2003-06-02,9PM,9,3,3,933
2003-06-03,9PM,3,3,0,330
2003-06-04,9PM,3,0,7,307
2003-06-05,9PM,5,8,6,586
2003-06-06,9PM,6,6,7,667
2003-06-07,9PM,7,8,0,780
2003-06-08,9PM,7,2,6,726
2003-06-09,9PM,8,7,8,878
2003-06-10,9PM,9,3,7,937
2003-06-11,9PM,5,9,4,594
2003-06-12,9PM,8,8,5,885
2003-06-13,9PM,8,3,0,830
2003-06-14,9PM,1,1,3,113
2003-06-15,9PM,4,5,0,450
2003-06-16,9PM,8,8,0,880
2003-06-17,9PM,4,4,8,448
2003-06-18,9PM,9,5,9,959
2003-06-19,9PM,3,5,7,357
2003-06-20,9PM,8,2,0,820
2003-06-21,9PM,2,3,0,230
2003-06-22,9PM,2,0,8,208
2003-06-23,9PM,5,6,1,561
